date,num_jobs
2021-12-25,2
2021-12-26,46
2021-12-27,15
2021-12-29,9
2021-12-30,3
2021-12-31,107
2022-01-01,180
2022-01-02,310
2022-01-03,1070
2022-01-04,1722
2022-01-05,1454
2022-01-06,1782
2022-01-07,1789
2022-01-08,8142
2022-01-09,10537
2022-01-10,1140
2022-01-11,2640
2022-01-12,2159
2022-01-13,2710
2022-01-14,6216
2022-01-15,576
2022-01-16,2115
2022-01-17,4770
2022-01-18,7918
2022-01-19,9271
2022-01-20,2331
2022-01-21,3473
2022-01-22,4433
2022-01-23,3865
2022-01-24,3975
2022-01-25,3142
2022-01-26,2549
2022-01-27,2757
2022-01-28,4864
2022-01-29,1171
2022-01-30,1782
2022-01-31,3015
2022-02-01,1251
2022-02-02,1514
2022-02-03,2450
2022-02-04,1481
2022-02-05,619
2022-02-06,1330
2022-02-07,2941
2022-02-08,4700
2022-02-09,1809
2022-02-10,5379
2022-02-11,1278
2022-02-12,2555
2022-02-13,590
2022-02-14,1333
2022-02-15,2047
2022-02-16,2063
2022-02-17,1571
2022-02-18,1354
2022-02-19,446
2022-02-20,486
2022-02-21,1394
2022-02-22,1861
2022-02-23,3119
2022-02-24,1173
2022-02-25,1436
2022-02-26,777
2022-02-27,469
2022-02-28,1444
2022-03-01,1678
2022-03-02,1190
2022-03-03,2232
2022-03-04,913
2022-03-05,291
2022-03-06,750
2022-03-07,2215
2022-03-08,2454
2022-03-09,1260
2022-03-10,1082
2022-03-11,1638
2022-03-12,533
2022-03-13,805
2022-03-14,4455
2022-03-15,2290
2022-03-16,2217
2022-03-17,5657
2022-03-18,3448
2022-03-19,2000
2022-03-20,1295
2022-03-21,6820
2022-03-22,2321
2022-03-23,3986
2022-03-24,7967
2022-03-25,3103
2022-03-26,14591
2022-03-27,15614
2022-03-28,16692
2022-03-29,2956
2022-03-30,3095
2022-03-31,1591
2022-04-01,2653
2022-04-02,1781
2022-04-03,1023
2022-04-04,1403
2022-04-05,2598
2022-04-06,6228
2022-04-07,3888
2022-04-08,4410
2022-04-09,2010
2022-04-10,4624
2022-04-11,5024
2022-04-12,3548
2022-04-13,11483
2022-04-14,7824
2022-04-15,2522
2022-04-16,1155
2022-04-17,795
2022-04-18,2476
2022-04-19,3140
2022-04-20,4339
2022-04-21,5033
2022-04-22,5796
2022-04-23,4420
2022-04-24,4667
2022-04-25,10699
2022-04-26,7070
2022-04-27,2672
2022-04-28,12300
2022-04-29,14068
2022-04-30,7996
2022-05-01,6100
2022-05-02,17486
2022-05-03,3963
2022-05-04,4541
2022-05-05,1672
2022-05-06,4562
2022-05-07,945
2022-05-08,2083
2022-05-09,17390
2022-05-10,16053
2022-05-11,4385
2022-05-12,4153
2022-05-13,3229
2022-05-14,3049
2022-05-15,6334
2022-05-16,7055
2022-05-17,20690
2022-05-18,9859
2022-05-19,5088
2022-05-20,3739
2022-05-21,1214
2022-05-22,1765
2022-05-23,44052
2022-05-24,10388
2022-05-25,26813
2022-05-26,2804
2022-05-27,20024
2022-05-28,1864
2022-05-29,1611
2022-05-30,10601
2022-05-31,12959
2022-06-01,2656
2022-06-02,4633
2022-06-03,2308
2022-06-04,496
2022-06-05,818
2022-06-06,1009
2022-06-07,7444
2022-06-08,8667
2022-06-09,8708
2022-06-10,4227
2022-06-11,1056
2022-06-12,1065
2022-06-13,2731
2022-06-14,161965
2022-06-15,10123
2022-06-16,63079
2022-06-17,22001
2022-06-18,439
2022-06-19,1022
2022-06-20,15471
2022-06-21,1603
2022-06-22,1067
2022-06-23,5097
2022-06-24,1507
2022-06-25,610
2022-06-26,1194
2022-06-27,1971
2022-06-28,2365
2022-06-29,1573
2022-06-30,56888
2022-07-01,2346
2022-07-02,318
2022-07-03,622
2022-07-04,4479
2022-07-05,2962
2022-07-06,2370
2022-07-07,1349
2022-07-08,1842
2022-07-09,852
2022-07-10,1244
2022-07-11,5433
2022-07-12,2592
2022-07-13,8162
2022-07-14,3182
2022-07-15,2007
2022-07-16,1491
2022-07-17,505
2022-07-18,3893
2022-07-19,4197
2022-07-20,2848
2022-07-21,6357
2022-07-22,2891
2022-07-23,6370
2022-07-24,1410
2022-07-25,8003
2022-07-26,12025
2022-07-27,5368
2022-07-28,5569
2022-07-29,8873
2022-07-30,381
2022-07-31,365
2022-08-01,9456
2022-08-02,3196
2022-08-03,24126
2022-08-04,4948
2022-08-05,3854
2022-08-06,297
2022-08-07,1271
2022-08-08,2628
2022-08-09,3144
2022-08-10,5037
2022-08-11,1737
2022-08-12,1934
2022-08-13,400
2022-08-14,810
2022-08-15,11059
2022-08-16,7269
2022-08-17,2603
2022-08-18,8510
2022-08-19,2008
2022-08-20,1876
2022-08-21,4097
2022-08-22,6399
2022-08-23,2515
2022-08-24,4290
2022-08-25,6480
2022-08-26,2366
2022-08-27,685
2022-08-28,1472
2022-08-29,1742
2022-08-30,2409
2022-08-31,1542
2022-09-01,1526
2022-09-02,1146
2022-09-03,632
2022-09-04,1737
2022-09-05,2936
2022-09-06,9967
2022-09-07,8387
2022-09-08,1575
2022-09-09,5297
2022-09-10,1039
2022-09-11,1616
2022-09-12,3604
2022-09-13,1550
2022-09-14,1686
2022-09-15,1885
2022-09-16,1115
2022-09-17,335
2022-09-18,28984
2022-09-19,1145
2022-09-20,2132
2022-09-21,1564
2022-09-22,3135
2022-09-23,1618
2022-09-24,2617
2022-09-25,717
2022-09-26,3471
2022-09-27,4080
2022-09-28,3959
2022-09-29,3409
2022-09-30,1606
2022-10-01,970
2022-10-02,757
2022-10-03,3662
2022-10-04,9341
2022-10-05,11512
2022-10-06,8515
2022-10-07,1630
2022-10-08,963
2022-10-09,1331
2022-10-10,1861
2022-10-11,6946
2022-10-12,6777
2022-10-13,3112
2022-10-14,4561
2022-10-15,1458
2022-10-16,1395
2022-10-17,10341
2022-10-18,26591
2022-10-19,2417
2022-10-20,19560
2022-10-21,13482
2022-10-22,1383
2022-10-23,1209
2022-10-24,3596
2022-10-25,5025
2022-10-26,2548
2022-10-27,3515
2022-10-28,1849
2022-10-29,1303
2022-10-30,3063
2022-10-31,2624
2022-11-01,772
